text,referenced_tweets,id,author_id,edit_history_tweet_ids,created_at,entities.mentions,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id
"RT @GenAi_offi: #GenAi AIRDROP

We’re doing a MASSIVE #AirDrop of 10,000,000 $GenAi ! 
 
1000 winners will be selected and will receive 10,…","[{'type': 'retweeted', 'id': '1760643039670771756'}]",1760970349003395233,1.2508464071557652e+18,['1760970349003395233'],2024-02-23T10:10:23.000Z,"[{'start': 3, 'end': 14, 'username': 'GenAi_offi', 'id': '1663269489515872267'}]",335.0,0.0,0.0,0.0,0.0,0.0,
@mmarccode move to genai bois,"[{'type': 'replied_to', 'id': '1760969608440483990'}]",1760970345597804742,2246577770.0,['1760970345597804742'],2024-02-23T10:10:22.000Z,"[{'start': 0, 'end': 10, 'username': 'mmarccode', 'id': '1505796162267545601'}]",0.0,1.0,0.0,0.0,0.0,81.0,1.5057961622675456e+18
"RT @GenAi_offi: #GenAi AIRDROP

We’re doing a MASSIVE #AirDrop of 10,000,000 $GenAi ! 
 
1000 winners will be selected and will receive 10,…","[{'type': 'retweeted', 'id': '1760643039670771756'}]",1760970209702076883,707717096.0,['1760970209702076883'],2024-02-23T10:09:49.000Z,"[{'start': 3, 'end': 14, 'username': 'GenAi_offi', 'id': '1663269489515872267'}]",335.0,0.0,0.0,0.0,0.0,0.0,
@GenAi_offi DWfVinW6RtnxjPQNcgmtYLEsUq8tMwYDsPupFoqeDtWc,"[{'type': 'replied_to', 'id': '1760643039670771756'}]",1760970194510348398,707717096.0,['1760970194510348398'],2024-02-23T10:09:46.000Z,"[{'start': 0, 'end': 11, 'username': 'GenAi_offi', 'id': '1663269489515872267'}]",0.0,0.0,0.0,0.0,0.0,4.0,1.6632694895158723e+18
"Let's take it back to 2023. ↩️
We know it wasn't that long ago that we were talking about AI taking over the marketing landscape. 
Watch this video for a refresher, then read the blog for more detail on #SocialMedia moments from 2023:
https://t.co/7M4A1lU1e7 https://t.co/eJ5nJlK2du",,1760970051077697810,4068262639.0,['1760970051077697810'],2024-02-23T10:09:12.000Z,,0.0,0.0,0.0,0.0,0.0,7.0,
@GenAi_offi DARBaXHEhRXWh7iN6MhPQb8ssp36DPbfxhCrCLmukfUf,"[{'type': 'replied_to', 'id': '1760643039670771756'}]",1760969851844350037,1.4979772311082394e+18,['1760969851844350037'],2024-02-23T10:08:24.000Z,"[{'start': 0, 'end': 11, 'username': 'GenAi_offi', 'id': '1663269489515872267'}]",0.0,0.0,0.0,0.0,0.0,5.0,1.6632694895158723e+18
"RT @choc07_: Gen Z Web3 Marketer who dares to dream and act! 

💡Believing in the miracles of the crypto world and convinced that decentrali…","[{'type': 'retweeted', 'id': '1760554472915554734'}]",1760969848992002385,1.4794471289969418e+18,['1760969848992002385'],2024-02-23T10:08:23.000Z,"[{'start': 3, 'end': 11, 'username': 'choc07_', 'id': '1452908764055568384'}]",51.0,0.0,0.0,0.0,0.0,0.0,
"RT @GenAi_offi: #GenAi AIRDROP

We’re doing a MASSIVE #AirDrop of 10,000,000 $GenAi ! 
 
1000 winners will be selected and will receive 10,…","[{'type': 'retweeted', 'id': '1760643039670771756'}]",1760969834718986367,1.4979772311082394e+18,['1760969834718986367'],2024-02-23T10:08:20.000Z,"[{'start': 3, 'end': 14, 'username': 'GenAi_offi', 'id': '1663269489515872267'}]",335.0,0.0,0.0,0.0,0.0,0.0,
"▶️ Nikko Patten Weinstein - Beyond Numbers: Storytelling with Data for Amazon Entrepreneurs through AI!
▶️ Vijay Jacob - Unlocking Amazon Growth with AI-powered Product Design &amp; Marketing!
▶️ Nick Penev- Ex2EU Blueprint! 450M+ Marker Entry!
▶️ Q&amp;A","[{'type': 'replied_to', 'id': '1760969768633307300'}]",1760969772496204078,1.666088182482608e+18,['1760969772496204078'],2024-02-23T10:08:05.000Z,,0.0,1.0,0.0,0.0,0.0,19.0,1.666088182482608e+18
"RT @HeyAbhishekk: How to Launch your online business in 48 hours with $0

1. Bubble— Create website

2. Namelix— AI name generator

3. Canv…","[{'type': 'retweeted', 'id': '1760894176517083193'}]",1760969661900890278,31075589.0,['1760969661900890278'],2024-02-23T10:07:39.000Z,"[{'start': 3, 'end': 16, 'username': 'HeyAbhishekk', 'id': '1547059723811229696'}]",256.0,0.0,0.0,0.0,0.0,0.0,
